,Open,High,Low,Close,Volume,Datetime
2024-01-02 04:00:00,190.9562,191.0259,189.0334,189.2526,52699,2024-01-02 04:00:00
2024-01-02 04:15:00,189.2526,189.5017,189.1928,189.3522,11004,2024-01-02 04:15:00
2024-01-02 04:30:00,189.3522,189.3821,189.0833,189.1729,13121,2024-01-02 04:30:00
2024-01-02 04:45:00,189.2028,189.2626,189.1729,189.2526,9268,2024-01-02 04:45:00
2024-01-02 05:00:00,189.2427,189.4120,189.2427,189.3921,8598,2024-01-02 05:00:00
2024-01-02 05:15:00,189.3921,189.5316,189.3223,189.3423,7230,2024-01-02 05:15:00
2024-01-02 05:30:00,189.3622,189.4817,189.2925,189.4220,3198,2024-01-02 05:30:00
2024-01-02 05:45:00,189.4220,189.4220,188.9737,189.0932,15758,2024-01-02 05:45:00
2024-01-02 06:00:00,189.0932,189.1032,188.6748,188.8442,20318,2024-01-02 06:00:00
2024-01-02 06:15:00,188.8740,188.8740,188.1568,188.1568,66676,2024-01-02 06:15:00
2024-01-02 06:30:00,188.2066,188.4357,188.0771,188.4257,17862,2024-01-02 06:30:00
2024-01-02 06:45:00,188.4457,188.5154,188.2265,188.3062,23525,2024-01-02 06:45:00
2024-01-02 07:00:00,188.2962,188.9338,188.2863,188.6051,51761,2024-01-02 07:00:00
2024-01-02 07:15:00,188.6150,188.6250,188.4257,188.4756,35941,2024-01-02 07:15:00
2024-01-02 07:30:00,188.4656,188.4656,188.1368,188.1568,40906,2024-01-02 07:30:00
2024-01-02 07:45:00,188.1667,188.1867,187.6686,187.6985,49582,2024-01-02 07:45:00
2024-01-02 08:00:00,188.6150,191.8029,187.0709,187.2104,265804,2024-01-02 08:00:00
2024-01-02 08:15:00,187.2303,193.2973,187.1313,187.2801,111716,2024-01-02 08:15:00
2024-01-02 08:30:00,187.2402,191.8029,187.2004,187.6387,88243,2024-01-02 08:30:00
2024-01-02 08:45:00,187.6138,193.2226,187.3698,187.4096,90720,2024-01-02 08:45:00
2024-01-02 09:00:00,187.3897,191.8029,187.1904,187.4694,802254,2024-01-02 09:00:00
2024-01-02 09:15:00,187.4494,192.0470,186.2938,186.4034,415614,2024-01-02 09:15:00
2024-01-02 09:30:00,186.4433,187.7284,185.3574,185.5566,9669759,2024-01-02 09:30:00
2024-01-02 09:45:00,185.5467,186.2341,185.3076,185.8156,4524334,2024-01-02 09:45:00
2024-01-02 10:00:00,185.8156,186.2639,185.7758,185.8256,2814770,2024-01-02 10:00:00
2024-01-02 10:15:00,185.8256,186.3934,185.3673,185.4868,1962501,2024-01-02 10:15:00
2024-01-02 10:30:00,185.4769,186.3681,184.5604,184.8294,2889986,2024-01-02 10:30:00
2024-01-02 10:45:00,184.8294,185.1980,184.4850,185.1880,2237303,2024-01-02 10:45:00
2024-01-02 11:00:00,185.1781,186.1356,185.1681,185.8953,2282790,2024-01-02 11:00:00
