,Open,High,Low,Close,Volume,Datetime
2024-08-19 04:00:00,226.4400,226.5000,224.9000,225.5200,12974,2024-08-19 04:00:00
2024-08-19 04:15:00,225.5400,225.9000,225.5200,225.8900,10322,2024-08-19 04:15:00
2024-08-19 04:30:00,225.8100,225.9000,225.4900,225.6400,6465,2024-08-19 04:30:00
2024-08-19 04:45:00,225.6400,225.8000,225.5100,225.5800,7123,2024-08-19 04:45:00
2024-08-19 05:00:00,225.5700,225.7000,225.4400,225.4400,4927,2024-08-19 05:00:00
2024-08-19 05:15:00,225.4400,225.5900,225.3000,225.5800,7544,2024-08-19 05:15:00
2024-08-19 05:30:00,225.5700,225.6500,225.4800,225.5300,3124,2024-08-19 05:30:00
2024-08-19 05:45:00,225.5200,225.5200,225.3100,225.3600,5404,2024-08-19 05:45:00
2024-08-19 06:00:00,225.3800,225.4700,225.2500,225.3200,11994,2024-08-19 06:00:00
2024-08-19 06:15:00,225.3200,225.4500,225.3000,225.4400,6457,2024-08-19 06:15:00
2024-08-19 06:30:00,225.4000,225.4200,225.2500,225.3200,4566,2024-08-19 06:30:00
2024-08-19 06:45:00,225.2700,225.3400,225.0000,225.1000,9998,2024-08-19 06:45:00
2024-08-19 07:00:00,225.1300,225.6800,225.0800,225.6700,14922,2024-08-19 07:00:00
2024-08-19 07:15:00,225.6500,225.8300,225.5600,225.6900,10968,2024-08-19 07:15:00
2024-08-19 07:30:00,225.7300,225.8200,225.6500,225.8200,8533,2024-08-19 07:30:00
2024-08-19 07:45:00,225.8100,226.0500,225.7000,225.9900,16231,2024-08-19 07:45:00
2024-08-19 08:00:00,225.6975,226.8200,224.8900,226.1300,53029,2024-08-19 08:00:00
2024-08-19 08:15:00,226.1000,226.4500,226.1000,226.1700,44642,2024-08-19 08:15:00
2024-08-19 08:30:00,226.1700,226.1900,225.9100,225.9350,19085,2024-08-19 08:30:00
2024-08-19 08:45:00,225.9500,226.1600,223.7850,226.0936,23092,2024-08-19 08:45:00
2024-08-19 09:00:00,226.1300,226.1400,225.9100,226.0000,24966,2024-08-19 09:00:00
2024-08-19 09:15:00,226.0000,226.1800,225.5300,225.6700,72534,2024-08-19 09:15:00
2024-08-19 09:30:00,225.7200,225.7400,224.4400,225.0500,2974627,2024-08-19 09:30:00
2024-08-19 09:45:00,225.0600,225.0650,224.1160,224.4000,1754094,2024-08-19 09:45:00
2024-08-19 10:00:00,224.4000,224.5200,224.1100,224.2497,1405163,2024-08-19 10:00:00
2024-08-19 10:15:00,224.2400,224.2900,223.0400,224.1600,3157150,2024-08-19 10:15:00
2024-08-19 10:30:00,224.1600,224.3500,223.4900,223.5664,1055306,2024-08-19 10:30:00
2024-08-19 10:45:00,223.5700,224.2800,223.5500,224.2100,1085719,2024-08-19 10:45:00
2024-08-19 11:00:00,224.2300,224.7300,224.0900,224.4800,1176771,2024-08-19 11:00:00
2024-08-19 11:15:00,224.4800,224.6100,223.9300,224.4302,875468,2024-08-19 11:15:00
2024-08-19 11:30:00,224.4276,224.6500,224.0500,224.2500,720923,2024-08-19 11:30:00
2024-08-19 11:45:00,224.2600,224.4000,223.7500,223.8647,793396,2024-08-19 11:45:00
2024-08-19 12:00:00,223.8800,224.2700,223.8000,224.2200,1150397,2024-08-19 12:00:00
2024-08-19 12:15:00,224.2300,224.4600,224.1700,224.4250,714821,2024-08-19 12:15:00
2024-08-19 12:30:00,224.4150,224.4400,224.1150,224.4050,626432,2024-08-19 12:30:00
2024-08-19 12:45:00,224.4000,224.4650,224.2700,224.3750,610293,2024-08-19 12:45:00
2024-08-19 13:00:00,224.3600,224.4300,223.7500,223.8700,717417,2024-08-19 13:00:00
2024-08-19 13:15:00,223.8700,224.1850,223.8150,224.0250,695710,2024-08-19 13:15:00
2024-08-19 13:30:00,224.0250,224.2200,223.8000,224.2200,745762,2024-08-19 13:30:00
2024-08-19 13:45:00,224.2350,224.3500,224.1300,224.3150,583898,2024-08-19 13:45:00
2024-08-19 14:00:00,224.3100,224.5450,224.2800,224.4760,728534,2024-08-19 14:00:00
2024-08-19 14:15:00,224.4750,224.6600,224.3900,224.6450,1498539,2024-08-19 14:15:00
2024-08-19 14:30:00,224.6450,224.7850,224.5800,224.7700,753080,2024-08-19 14:30:00
2024-08-19 14:45:00,224.7750,224.9200,224.7100,224.7850,693496,2024-08-19 14:45:00
2024-08-19 15:00:00,224.7800,224.8100,224.6700,224.7650,656792,2024-08-19 15:00:00
2024-08-19 15:15:00,224.7700,224.9500,224.7300,224.9300,711146,2024-08-19 15:15:00
2024-08-19 15:30:00,224.9250,225.2800,224.8900,225.2200,1077014,2024-08-19 15:30:00
2024-08-19 15:45:00,225.2200,225.9900,225.0300,225.9000,3790274,2024-08-19 15:45:00
2024-08-19 16:00:00,225.9000,226.0000,225.6500,225.7150,14382117,2024-08-19 16:00:00
2024-08-19 16:15:00,225.7150,226.0000,224.7650,225.9400,40553,2024-08-19 16:15:00
2024-08-19 16:30:00,225.9900,226.0000,225.8100,225.9500,25600,2024-08-19 16:30:00
2024-08-19 16:45:00,225.9250,225.9500,225.8300,225.8300,548240,2024-08-19 16:45:00
2024-08-19 17:00:00,225.8400,225.8900,225.7800,225.8200,14515,2024-08-19 17:00:00
2024-08-19 17:15:00,225.8250,229.2480,213.1113,225.8500,59402,2024-08-19 17:15:00
2024-08-19 17:30:00,225.8200,229.2480,213.6110,225.8600,3047,2024-08-19 17:30:00
2024-08-19 17:45:00,225.8436,225.8600,225.7000,225.8100,7335,2024-08-19 17:45:00
2024-08-19 18:00:00,225.8100,226.0000,225.7900,225.9600,21005,2024-08-19 18:00:00
