,Open,High,Low,Close,Volume,Datetime
2024-08-15 04:00:00,222.0600,222.9000,221.9900,222.0700,1546,2024-08-15 04:00:00
2024-08-15 04:01:00,222.3200,222.6500,222.1300,222.5100,2296,2024-08-15 04:01:00
2024-08-15 04:02:00,222.5100,222.6400,222.4300,222.5500,817,2024-08-15 04:02:00
2024-08-15 04:03:00,222.6000,222.7900,222.5700,222.7700,1230,2024-08-15 04:03:00
2024-08-15 04:04:00,222.6900,222.7600,222.6900,222.6900,441,2024-08-15 04:04:00
2024-08-15 04:05:00,222.6600,222.6600,222.5400,222.5500,103,2024-08-15 04:05:00
2024-08-15 04:06:00,222.5500,222.5500,222.5400,222.5500,62,2024-08-15 04:06:00
2024-08-15 04:07:00,222.6500,222.6500,222.4600,222.5700,609,2024-08-15 04:07:00
2024-08-15 04:08:00,222.5000,222.5000,222.4300,222.4500,99,2024-08-15 04:08:00
2024-08-15 04:09:00,222.3800,222.4700,222.3800,222.4300,83,2024-08-15 04:09:00
2024-08-15 04:10:00,222.3600,222.3700,222.3000,222.3100,86,2024-08-15 04:10:00
2024-08-15 04:11:00,222.3000,222.3100,222.2300,222.2300,349,2024-08-15 04:11:00
2024-08-15 04:12:00,222.2300,222.2700,222.2300,222.2700,59,2024-08-15 04:12:00
2024-08-15 04:13:00,222.1500,222.1900,222.1200,222.1900,145,2024-08-15 04:13:00
2024-08-15 04:14:00,222.1800,222.4000,222.1800,222.3700,516,2024-08-15 04:14:00
2024-08-15 04:15:00,222.3400,222.3400,222.2700,222.2900,25,2024-08-15 04:15:00
2024-08-15 04:16:00,222.3300,222.3300,222.2800,222.3100,223,2024-08-15 04:16:00
2024-08-15 04:17:00,222.3100,222.4100,222.3000,222.4100,682,2024-08-15 04:17:00
2024-08-15 04:18:00,222.3800,222.3800,222.3800,222.3800,30,2024-08-15 04:18:00
2024-08-15 04:19:00,222.3400,222.3700,222.3400,222.3500,115,2024-08-15 04:19:00
2024-08-15 04:20:00,222.3800,222.5200,222.3800,222.5200,1257,2024-08-15 04:20:00
2024-08-15 04:21:00,222.5200,222.5200,222.5000,222.5000,7,2024-08-15 04:21:00
2024-08-15 04:22:00,222.5000,222.5000,222.4600,222.4600,14,2024-08-15 04:22:00
2024-08-15 04:23:00,222.4600,222.4600,222.3700,222.3700,1015,2024-08-15 04:23:00
2024-08-15 04:24:00,222.3700,222.4300,222.3700,222.4200,27,2024-08-15 04:24:00
2024-08-15 04:25:00,222.4600,222.5100,222.4000,222.4000,334,2024-08-15 04:25:00
2024-08-15 04:26:00,222.3800,222.4900,222.3800,222.3800,21,2024-08-15 04:26:00
2024-08-15 04:27:00,222.4900,222.5000,222.4800,222.4900,49,2024-08-15 04:27:00
2024-08-15 04:28:00,222.3700,222.3800,222.1000,222.1800,2558,2024-08-15 04:28:00
2024-08-15 04:29:00,222.1900,222.2500,222.1300,222.1800,874,2024-08-15 04:29:00
2024-08-15 04:30:00,222.1900,222.2900,222.1900,222.1900,3,2024-08-15 04:30:00
2024-08-15 04:31:00,222.1900,222.3000,222.1900,222.2100,16,2024-08-15 04:31:00
2024-08-15 04:32:00,222.2000,222.2000,222.1200,222.1200,306,2024-08-15 04:32:00
2024-08-15 04:33:00,222.2800,222.2800,222.1900,222.1900,3,2024-08-15 04:33:00
2024-08-15 04:34:00,222.1100,222.1100,222.1000,222.1000,145,2024-08-15 04:34:00
2024-08-15 04:35:00,222.1000,222.1300,222.0000,222.0300,405,2024-08-15 04:35:00
